Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
AAPL,Apple Inc.,255.82,7.06,2.84%,37.781M,80.881M,1.156T,21.52,
MSFT,Microsoft Corporation,143.72,0.35,0.24%,33.128M,62.051M,1.096T,27.12,
GOOG,Alphabet Inc.,"1,273.74",13.63,1.08%,1.67M,3.515M,878.025B,27.33,
GOOGL,Alphabet Inc.,"1,272.25",13.45,1.07%,1.091M,3.737M,877.91B,27.3,
FB,"Facebook, Inc.",193.62,1.97,1.03%,21.712M,78.021M,552.388B,30.95,
TSM,Taiwan Semiconductor Manufacturing Company Limited,52.1,0.47,0.91%,4.88M,14.791M,256.685B,23.36,
INTC,Intel Corporation,56.51,-0.02,-0.04%,17.953M,49.941M,245.797B,13.23,
CSCO,"Cisco Systems, Inc.",47.03,-0.48,-1.01%,21.2M,38.798M,199.587B,18.02,
ORCL,Oracle Corporation,55,0.51,0.94%,7.278M,24.999M,180.539B,18,
SAP,SAP SE,133.69,1.11,0.84%,1.518M,1.363M,163.518B,32.3,
CRM,"salesforce.com, inc.",159.74,3.25,2.08%,4.771M,12.713M,140.092B,132.67,
ADBE,Adobe Inc.,277.82,-0.11,-0.04%,2.827M,7.056M,134.487B,49.43,
NVDA,NVIDIA Corporation,202.59,1.57,0.78%,7.091M,16.963M,123.377B,45.68,
IBM,International Business Machines Corporation,135.53,1.8,1.35%,3.061M,8.983M,120.03B,15.75,
ACN,Accenture plc,188.22,2.8,1.51%,1.486M,4.346M,119.701B,25.57,
AVGO,Broadcom Inc.,296.59,3.74,1.28%,1.792M,6.385M,117.649B,41.74,
ASML,ASML Holding N.V.,270.6,8.63,3.29%,"585,503",1.604M,113.587B,38.88,
TXN,Texas Instruments Incorporated,118.04,0.05,0.04%,3.712M,11.798M,110.388B,21.9,
QCOM,QUALCOMM Incorporated,83.58,3.14,3.90%,7.627M,16M,101.605B,30.59,
SNE,Sony Corporation,61.44,0.61,1.00%,"602,519",1.928M,75.612B,12.92,
INTU,Intuit Inc.,256.48,-1.02,-0.40%,"672,697",2.613M,66.704B,43.54,
VMW,"VMware, Inc.",163.06,4.79,3.03%,"822,546",2.612M,66.632B,10.84,
